,Title,Views,Likes,Dislikes,Comments,Date
0,"MIRZAPUR S2 - Official Trailer | Pankaj Tripathi, Ali Fazal, Divyenndu | Amazon Original |Oct23",16262693,1353759,38886,86676,06-10-2020
1,"Teri Aankhon Mein Song: Divya K | Darshan R, Neha K | Pearl V Manan B | Radhika, Vinay | Bhushan K",11607014,554245,30076,57274,07-10-2020
2,HERA PHERI - Rich vs Normal | ShrutiArjunAnand,1564854,123934,5007,32694,06-10-2020
3,RUCHI KA NEW SOFA रूचि का नया सोफा | Family Comedy Movie | Ruchi and Piyush,2227245,107762,5833,8521,06-10-2020
4,Mirzapur 2 Trailer REVIEW | Deeksha Sharma,2217386,120583,35682,5288,06-10-2020
5,V-1 | The Day My Channel Got Hacked.... | Life Uncut w/ Tanmay,1272673,249240,2379,8110,06-10-2020
6,BellBottom | Official Teaser | Akshay Kumar | Vaani | Vashu Bhagnani | Huma | Lara | 02 April 2021,15406599,205407,60487,111284,04-10-2020
7,Dino James - Dil Kahi Ka [Teaser],944181,158548,756,8050,07-10-2020
8,TEACHER VS STUDENTS | School Ka Punchnama | So Effin Cray,348521,48329,1305,2156,06-10-2020
9,Sunn Zara - Official Video | JalRaj | Shivin Narang | Tejasswi Prakash | Anmol D | Indie Music Label,8065673,488710,11428,17217,04-10-2020
10,गोकुलधाम वासियों ने कराया Test - Taarak Mehta Ka Ooltah Chashmah -तारक मेहता - Ep 3006 -2nd Oct 2020,12229214,142214,15612,6016,02-10-2020
11,NEW! Ep 3006 - Abdul Missing?! | Taarak Mehta Ka Ooltah Chashmah Comedy | तारक मेहता का उल्टा चश्मा,14950259,203133,23140,22233,02-10-2020
12,INDIANS AND IPL || Rachit Rojha,1675053,60479,9516,13754,05-10-2020
13,BTS (방탄소년단) MAP OF THE SOUL ON:E Teaser 2,3957666,1119726,4217,29780,06-10-2020
14,WEARING MOM’s SAREE FOR THE FIRST TIME 🙈 *surprised*,509414,79284,525,10435,07-10-2020
15,BTS (방탄소년단) MAP OF THE SOUL ON:E Teaser 1,7174253,1508140,13577,48474,05-10-2020
16,"Hum Tum (Official Video) Sukriti, Prakriti | Raghav Juyal, Priyank Sharma | Mellow D | Lost Stories",4430098,176933,16331,6704,05-10-2020
17,WE FOUND NEW TIKTOK,1919769,218768,5565,5913,05-10-2020
18,why JS Films QUIT YouTube ?,152468,27446,445,2818,19-10-2020
19,"The Interns | Teaser Ft. Ahsaas Channa, Revathi Pillai & Rashmi Agdekar | Girliyapa Originals",666970,26525,811,787,05-10-2020
20,Behind The Scenes Reality of Cricket | IPL Ads,5319435,562027,15398,31150,03-10-2020
21,Every Zaheer Khan wicket from the 2011 Cricket World Cup,268425,18127,211,1231,07-10-2020
22,Kylie Jenner: Halloween Cookies with Stormi,9280893,,,29866,05-10-2020
23,Catching fish as big as CARS,7976965,318894,7368,17354,05-10-2020
24,Things Only Girls Can Understand 😂 | Anisha Dixit,426166,36002,3569,3400,06-10-2020
25,Leap To Next Gen | Launch Event,150857,7262,600,246,07-10-2020
26,"Mirzapur S2 interview with Pankaj Tripathi, Shweta Tripathi, Ali Fazal, Divyenndu | Film Companion",323921,17072,402,1017,06-10-2020
27,क्या होंगे Test के Reports? - Taarak Mehta Ka Ooltah Chashmah - तारक मेहता - Ep 3008 - 6th Oct 2020,2270613,41579,2631,1683,06-10-2020
28,BADI BEHAN vs CHHOTI BEHAN || Sibbu Giri || Aashish Bhardwaj,1595242,38721,6193,5565,05-10-2020
29,Types Of Maggi Eaters Part 2 | Hungry Birds Funny Video,1329918,50508,2883,5372,07-10-2020
30,Aavrutti - ERROR 404 (Official Video) | Prod. by Phenom | Gully Gang | Mass Appeal India,211546,20084,430,813,05-10-2020
31,PS5 Teardown: An up-close and personal look at the console hardware,4443667,306646,7639,31382,07-10-2020
32,CFA Exams Cancelled for December 2020 | CA Nitin Guru,44063,1395,65,467,07-10-2020
33,Cricket has Returned! | NT20 Cup and IPL 2020 | Shoaib Akhtar | SP1N,63615,5631,551,962,07-10-2020
34,NEW! Ep 3008 - Champak Catches Jetha Planning Party Sharty | Taarak Mehta Ka Ooltah Chashmah Comedy,3051769,67901,3014,2817,06-10-2020
35,Baby Girl | Guru Randhawa Dhvani Bhanushali | Remo D'Souza | Bhushan Kumar,40599361,1331902,102490,178246,30-09-2020
36,"Divyendu: ""Munna Bhaiya is like HULK, he's always ANGRY from...""| MIRZAPUR 2 | Pankaj Tripathi",248437,13277,141,562,19-10-2020
37,Types Of Friends In 2020 | Life During Lockdown | Jordindian,1911038,173347,3330,6987,04-10-2020
38,"Customizing A $10,000,000 House 🏠",4536269,277787,5756,30808,05-10-2020
39,Reports का इंतज़ार - Taarak Mehta Ka Ooltah Chashmah - तारक मेहता - Ep 3007 - 5th Oct 2020,3088803,43702,4067,2154,05-10-2020
40,NEW! Ep 3005 - Gokuldham Mein Corona?! | Taarak Mehta Ka Ooltah Chashmah | तारक मेहता का उल्टा चश्मा,10545929,164214,12729,10544,01-10-2020
41,CARRYMINATI VS. ARCTIC FOX @CarryMinati,8920307,758562,23627,29919,02-10-2020
42,CHESS with JABY KOAY & ACHARA ft. Vidit Gujrathi,270714,28727,357,312,15-10-2020
43,Bigg Boss S14 | बिग बॉस S14 | Jasmin Breaks Down In Tears,725028,17171,2955,1111,06-10-2020
