name,url,stars
cosmos,https://github.com/OpenGenus/cosmos.git,12349
hacktoberfest-swag-list,https://github.com/crweiner/hacktoberfest-swag-list.git,810
awesome-android-kotlin-apps,https://github.com/androiddevnotes/awesome-android-kotlin-apps.git,695
hacktoberfest-checker,https://github.com/jenkoian/hacktoberfest-checker.git,693
hacktoberfest,https://github.com/AliceWonderland/hacktoberfest.git,561
awesome-android-learning-resources,https://github.com/androiddevnotes/awesome-android-learning-resources.git,553
hacktoberfest,https://github.com/lingonsaft/hacktoberfest.git,405
Hacktoberfest-2020,https://github.com/Ishaan28malik/Hacktoberfest-2020.git,370
Hacktoberfest2019,https://github.com/Open-Source-Contributors-JSS/Hacktoberfest2019.git,352
Hacktoberfest2019,https://github.com/Dhroov7/Hacktoberfest2019.git,289
awesome-hacktoberfest-2020,https://github.com/OtacilioN/awesome-hacktoberfest-2020.git,248
DSCFest-Hacktoberfest,https://github.com/dsc-galgotias-university/DSCFest-Hacktoberfest.git,237
Hacktoberfest2020,https://github.com/vinitshahdeo/Hacktoberfest2020.git,210
Data-Structures-And-Algorithms-Hacktoberfest18,https://github.com/yshshrm/Data-Structures-And-Algorithms-Hacktoberfest18.git,175
Hacktoberfest,https://github.com/Joonsang1994/Hacktoberfest.git,161
creative-computing-society.github.io,https://github.com/creative-computing-society/creative-computing-society.github.io.git,158
Rotten-Scripts,https://github.com/HarshCasper/Rotten-Scripts.git,146
hacktoberfest2018,https://github.com/ambujraj/hacktoberfest2018.git,136
hacktoberfest-swag,https://github.com/benbarth/hacktoberfest-swag.git,131
ReduxMovieDB,https://github.com/cardoso/ReduxMovieDB.git,129
traxss,https://github.com/M4cs/traxss.git,129
hacktoberfest,https://github.com/digitalocean/hacktoberfest.git,120
awesome-jetpack-compose-learning-resources,https://github.com/androiddevnotes/awesome-jetpack-compose-learning-resources.git,117
Hacktoberfest-Census,https://github.com/Cutwell/Hacktoberfest-Census.git,107
MyPortfolio-Hacktoberfest2019,https://github.com/BennyCarlsson/MyPortfolio-Hacktoberfest2019.git,107
CODE2RACE,https://github.com/hackerearthclub/CODE2RACE.git,91
Hacktoberfest,https://github.com/DSC-BVP/Hacktoberfest.git,80
useful-dev-tools,https://github.com/lucasgdb/useful-dev-tools.git,79
hacktoberfest,https://github.com/ahmadawais/hacktoberfest.git,78
pycon.tw,https://github.com/pycontw/pycon.tw.git,77
semana-hacktoberfest,https://github.com/lukinco/semana-hacktoberfest.git,77
quotebox,https://github.com/bauripalash/quotebox.git,72
hacktoberfest-projecteuler,https://github.com/wce-codepals/hacktoberfest-projecteuler.git,72
hacktoberfest,https://github.com/go-br/hacktoberfest.git,71
seasonalbot,https://github.com/python-discord/seasonalbot.git,70
Hacktoberfest-Android,https://github.com/naman14/Hacktoberfest-Android.git,67
Animation-Nation,https://github.com/zero-to-mastery/Animation-Nation.git,64
Hacktoberfest,https://github.com/microsoft/Hacktoberfest.git,63
HacktoberFestContribute,https://github.com/rathoresrikant/HacktoberFestContribute.git,61
hacktobermap,https://github.com/abhijitparida/hacktobermap.git,60
Hacktoberfest2019,https://github.com/wajahatkarim3/Hacktoberfest2019.git,59
awesome-jetpack-compose-android-apps,https://github.com/androiddevnotes/awesome-jetpack-compose-android-apps.git,55
HacktoberFest2020-Contributions,https://github.com/bhaveshlohana/HacktoberFest2020-Contributions.git,54
Hacktoberfest2020-MovieDo,https://github.com/garimasingh128/Hacktoberfest2020-MovieDo.git,53
Happy_Hacking,https://github.com/sudz123/Happy_Hacking.git,47
AlgoBook,https://github.com/geekquad/AlgoBook.git,46
hacktoberfest-verify,https://github.com/erikaheidi/hacktoberfest-verify.git,45
coding_challenge-22,https://github.com/zero-to-mastery/coding_challenge-22.git,43
awesome-hacktoberfest,https://github.com/mattjegan/awesome-hacktoberfest.git,43
Hacktoberfest-animations,https://github.com/NiallEccles/Hacktoberfest-animations.git,42
a11yfirst,https://github.com/tpage99/a11yfirst.git,42
algorithms,https://github.com/pirataspinhal/algorithms.git,40
Poke-Dex,https://github.com/AM1CODES/Poke-Dex.git,38
hacktoberfest-2019,https://github.com/mcao/hacktoberfest-2019.git,37
Data-Structures-Algorithms-Hacktoberfest-2K19,https://github.com/frextrite/Data-Structures-Algorithms-Hacktoberfest-2K19.git,36
hacktoberfest,https://github.com/abaykan/hacktoberfest.git,35
sorting-algorithms,https://github.com/tulika-99/sorting-algorithms.git,35
Hacktoberfest-2k19,https://github.com/vikumkbv/Hacktoberfest-2k19.git,35
hacktoberfest,https://github.com/PHPRio/hacktoberfest.git,34
